date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2015/3/16,269000,33000,HK,Appartement,67,3,
2015/3/11,120000,33000,ID,Appartement,47,2,
2015/3/30,134000,33000,HK,Appartement,51,2,
2015/4/17,330000,33000,EV,Maison,87,4,122
2015/7/23,267000,33000,HK,Appartement,82,3,
2015/7/27,140000,33000,ID,Appartement,48,2,
2015/8/14,88900,33000,ID,Appartement,30,1,
2015/10/3,149000,33000,ID,Appartement,64,3,
2015/11/12,247500,33000,HK,Appartement,100,4,
2015/11/30,150000,33000,ID,Appartement,53,2,
2015/12/21,117000,33000,ID,Appartement,47,2,
2016/1/28,130000,33000,KO,Appartement,25,1,
2016/7/26,280000,33000,KY,Appartement,30,2,53
2016/7/26,280000,33000,KY,Appartement,58,2,53
2016/9/9,650000,33000,KT,Appartement,100,2,112
2016/9/21,132450,33000,KL,Appartement,21,1,
2016/10/21,224000,33000,KL,Appartement,61,3,
2016/10/20,600000,33000,KN,Appartement,159,6,
2016/10/20,276000,33000,OY,Maison,73,3,125
2016/12/23,130000,33000,PK,Appartement,32,1,
2016/2/3,187500,33000,HK,Appartement,67,3,
2016/6/23,170000,33000,ID,Appartement,65,3,
2016/6/29,150000,33000,ID,Appartement,52,2,
2016/7/8,166000,33000,HK,Appartement,67,3,
2016/7/7,155000,33000,ID,Appartement,64,3,
2016/7/22,174000,33000,ID,Appartement,65,3,
2016/6/30,126000,33000,ID,Appartement,47,2,
2016/7/4,161000,33000,ID,Appartement,64,3,
2016/7/22,132000,33000,ID,Appartement,47,2,
2016/8/29,175000,33000,ID,Appartement,73,2,
2016/9/5,88000,33000,ID,Appartement,31,2,
2016/9/6,165000,33000,ID,Appartement,66,3,
2016/9/27,154650,33000,HK,Appartement,32,2,
2016/9/28,120000,33000,ID,Appartement,47,2,
2016/10/12,235000,33000,IB,Maison,95,5,118
2016/10/6,200000,33000,HP,Maison,51,3,162
2016/11/4,122500,33000,HK,Appartement,34,1,
2016/10/26,157500,33000,ID,Appartement,64,3,
2016/12/7,105000,33000,HK,Appartement,25,1,
2016/11/18,121000,33000,ID,Appartement,47,2,
2017/5/17,237000,33000,PK,Appartement,47,1,
2017/5/10,990000,33000,KN,Appartement,159,6,
2017/6/23,182000,33000,KL,Appartement,37,1,
2017/8/10,115000,33000,KL,Appartement,27,1,
2017/9/12,625000,33000,MD,Maison,136,6,121
2017/11/24,709250,33000,LK,Maison,165,6,176
2017/1/27,135000,33000,HE,Appartement,40,2,
2017/2/23,88000,33000,ID,Appartement,30,1,
2017/3/2,138000,33000,ID,Appartement,47,2,
2017/2/24,165000,33000,ID,Appartement,63,3,
2017/3/15,286000,33000,HV,Maison,51,2,82
2017/3/17,155000,33000,ID,Appartement,66,3,
2017/5/17,120000,33000,ID,Appartement,47,2,
2017/6/29,143500,33000,HK,Appartement,43,2,
2017/6/19,163000,33000,ID,Appartement,63,3,
2017/7/7,279030,33000,HE,Appartement,27,1,
2017/7/7,279030,33000,HE,Appartement,30,1,
2017/8/29,141500,33000,ID,Appartement,47,2,
2017/12/18,170000,33000,ID,Appartement,53,2,
2018/4/3,890000,33000,KT,Appartement,100,2,112
2018/9/27,145100,33000,KL,Appartement,21,1,
2018/11/16,253000,33000,PL,Appartement,56,2,
2018/12/18,273300,33000,KO,Appartement,24,1,
2018/1/25,182000,33000,ID,Appartement,64,3,
2018/2/2,189000,33000,ID,Appartement,52,2,
2018/2/9,155000,33000,ID,Appartement,47,2,
2018/5/3,355000,33000,HK,Appartement,82,3,
2018/6/6,200000,33000,ID,Appartement,78,4,
2018/6/14,120000,33000,HE,Appartement,35,2,
2018/7/5,315000,33000,DO,Appartement,53,2,
2018/7/24,317100,33000,HK,Appartement,67,3,
2018/8/23,126000,33000,ID,Appartement,47,2,
2018/9/5,175000,33000,HE,Appartement,42,2,
2018/10/4,206600,33000,HE,Appartement,42,2,
2018/10/29,110000,33000,ID,Appartement,31,1,
2019/1/23,63000,33000,KO,Appartement,15,1,
2019/2/7,759830,33000,MD,Maison,136,6,121
2019/3/7,130000,33000,KL,Appartement,30,1,
2019/3/22,575000,33000,OX,Appartement,98,4,
2019/4/10,491000,33000,KO,Appartement,104,3,
2019/1/24,197540,33000,ID,Appartement,65,3,
2019/1/31,220000,33000,HK,Appartement,52,2,
2019/2/25,181500,33000,ID,Appartement,63,3,
2019/3/12,225000,33000,ID,Appartement,64,3,
2019/3/8,184000,33000,ID,Appartement,64,3,
2019/3/26,120000,33000,HK,Appartement,37,2,
2019/5/16,185000,33000,ID,Appartement,66,3,
2019/6/7,762613,33000,DY,Maison,139,6,283
2014/5/13,2200000,33000,KT,Appartement,118,5,940
2014/5/20,200000,33000,OY,Maison,45,3,84
